sheet_slot,source_image,original_caption,exported_filename,note
1,image1.jpeg,Name: MS H FRAME 2MTR X 1 MTR,MS H FRAME 2MTR X 1 MTR.jpeg,
2,image2.jpeg,Name:  MS ACRO BRIDGE PLATE,MS ACRO BRIDGE PLATE.jpeg,
3,image3.jpeg,Name: MS U JACK,MS U JACK.jpeg,
4,image4.jpeg,Name: MS TROLLEY WHEEL BARROW,MS TROLLEY WHEEL BARROW.jpeg,
5,image5.jpeg,Name: MS TRAY,MS TRAY.jpeg,
6,image6.jpeg,Name: MS SHIKANJA,MS SHIKANJA.jpeg,
7,image7.jpeg,Name: MS SQUARE TUBE,MS SQUARE TUBE.jpeg,
8,image8.jpeg,Name: MS TROLLEY,MS TROLLEY.jpeg,
9,image4.jpeg,Name: MS TROLLEY,MS TROLLEY (2).jpeg,
10,image8.jpeg,Name: MS TROLLEY,MS TROLLEY (3).jpeg,
11,image6.jpeg,Name: MS SHIKANJA,MS SHIKANJA (2).jpeg,
12,image5.jpeg,Name: MS TRAY,MS TRAY (2).jpeg,
13,image7.jpeg,Name: MS SQUARE TUBE,MS SQUARE TUBE (2).jpeg,
14,image9.jpeg,Name: BAR THREADING MACHINE,BAR THREADING MACHINE.jpeg,
15,image10.jpeg,Name: BAR BENDING MACHINE,BAR BENDING MACHINE.jpeg,
16,image11.jpeg,Name: ANGLE GRINDER MACHINE,ANGLE GRINDER MACHINE.jpeg,
17,image12.jpeg,Name: SHUTTERING PLYWOOD,SHUTTERING PLYWOOD.jpeg,
18,image13.jpeg,Name: CUTTING MACHINE & HAND CUTTER MACHINE,CUTTING MACHINE AND HAND CUTTER MACHINE.jpeg,
19,image14.jpeg,Name: NAME & IMAGES ARE ALREADY THERE PLEASE EDIT,NAME AND IMAGES ARE ALREADY THERE PLEASE EDIT.jpeg,placeholder note
20,image15.jpeg,Name: MS ACRO SPAN,MS ACRO SPAN.jpeg,
21,image16.jpeg,Name: MS CUPLOCK VERTICAL,MS CUPLOCK VERTICAL.jpeg,
22,image17.jpeg,Name: DELETE,DELETE.jpeg,marked DELETE
23,image18.jpeg,Name: MS CUPLOCK LEDGER,MS CUPLOCK LEDGER.jpeg,
24,image19.jpeg,Name: MS VERTICAL,MS VERTICAL.jpeg,
25,image20.jpeg,Name: DELETE,DELETE (2).jpeg,marked DELETE
26,image21.jpeg,Name: DELETE,DELETE (3).jpeg,marked DELETE
27,image22.jpeg,Name: MS VERTICAL,MS VERTICAL (2).jpeg,
28,image23.jpeg,Name: MS BOILER,MS BOILER.jpeg,
29,image24.jpeg,Name: MS PHARMA,MS PHARMA.jpeg,
30,image25.jpeg,Name: MS FALLI (JALLI),MS FALLI (JALLI).jpeg,
31,image26.jpeg,Name: MS PROPS,MS PROPS.jpeg,
32,image27.jpeg,Name: MS PROPS,MS PROPS (2).jpeg,
33,image28.jpeg,Name: DELETE,DELETE (4).jpeg,marked DELETE
34,image29.jpeg,Name:  MS PROPS,MS PROPS (3).jpeg,
35,image30.jpeg,Name: MS SOILDJER,MS SOILDJER.jpeg,
36,image31.jpeg,Name: MS CULOCK VERTICAL,MS CULOCK VERTICAL.jpeg,
37,image32.jpeg,Name: LEFT SIDE IS MS BASE JACK & RIGHT SIDE IS U JACK,LEFT SIDE IS MS BASE JACK AND RIGHT SIDE IS U JACK.jpeg,
38,image33.jpeg,Name: MS BASE JACK,MS BASE JACK.jpeg,
39,image34.jpeg,Name: MS ACRO BRIDGE PLATE,MS ACRO BRIDGE PLATE (2).jpeg,
40,image35.jpeg,Name: MS FIX SPAN,MS FIX SPAN.jpeg,
